Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;926;312;515;671;19;20;FE de las JONS;0
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;PODEMOS;31
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;P.P.;24
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;P.S.O.E.;7
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;C's;6
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;I.U.EQUO;3
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;PACMA;0
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;VOX;0
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;UPyD;0
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;91;51;63;77;0;6;FE de las JONS;0
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;P.P.;273
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;P.S.O.E.;151
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;C's;47
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;PODEMOS;46
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;I.U.EQUO;24
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;UPyD;7
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;PACMA;3
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;FE de las JONS;1
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;833;269;420;572;16;4;VOX;0
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;P.P.;233
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;P.S.O.E.;89
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;PODEMOS;39
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;C's;35
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;I.U.EQUO;27
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;UPyD;7
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;VOX;4
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;PACMA;4
05-016-2-001-A;AVILA;016;ARÉVALO;2;001;A;685;238;360;479;27;11;FE de las JONS;3
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;P.P.;216
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;P.S.O.E.;94
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;C's;62
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;PODEMOS;23
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;I.U.EQUO;12
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;UPyD;9
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;PACMA;4
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;FE de las JONS;0
05-016-2-001-B;AVILA;016;ARÉVALO;2;001;B;667;223;303;459;21;18;VOX;0
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;P.P.;324
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;P.S.O.E.;170
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;PODEMOS;56
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;C's;51
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;I.U.EQUO;30
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;PACMA;7
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;UPyD;7
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;VOX;0
05-016-2-002-U;AVILA;016;ARÉVALO;2;002;U;998;318;500;685;30;10;FE de las JONS;0
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;P.P.;214
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;P.S.O.E.;103
